"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","GeneName","significance","negLog10FDR"
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC105375541","uncharacterized LOC105375541","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC105375855","uncharacterized LOC105375855","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC105376039","uncharacterized LOC105376039","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC105376218","uncharacterized LOC105376218","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"FIBCD1-AS1","FIBCD1 antisense RNA 1","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LINC02678","long intergenic non-protein coding RNA 2678","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC105376995","uncharacterized LOC105376995","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LINC02835","long intergenic non-protein coding RNA 2835","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC105377324","uncharacterized LOC105377324","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC105377732","uncharacterized LOC105377732","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC105378102","uncharacterized LOC105378102","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC105378327","uncharacterized LOC105378327","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC105378511","uncharacterized LOC105378511","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC105378736","uncharacterized LOC105378736","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC107984684","uncharacterized LOC107984684","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC107985892","uncharacterized LOC107985892","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC107986182","uncharacterized LOC107986182","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC107987009","uncharacterized LOC107987009","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC107987182","uncharacterized LOC107987182","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"SNORA63E","small nucleolar RNA, H/ACA box 63E","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"SNORA113","small nucleolar RNA, H/ACA box 113","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC112268012","uncharacterized LOC112268012","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"OLIG1","oligodendrocyte transcription factor 1","Down",4.14110302296313
